tweet,label
Lol just got a new hairstyle its short and curly :3 VERY PUNK,1
Heard on radio this morning that the overweight issue in the U . S . is a result of not digesting GM crops . Seriously ?  96ozcoke ? ? ?,1
Shocking ! ! HYPERLINK,1
"Garrett finally smiled , for the first time in a long while . ""Who's having the psychotic episode , now ? ""  amwriting  scifi",1
God I love rush hour on the CTA  peoplesuck,1
"Sixers acquire Anthony , futre 2nd rnd pick from Rockets . Wait for '30 draft when PHI have 15 1st & amp;10 2nd rnd picks .  TrustTheProcess",1
Ummm because cars are the way of the future . You can fit more people in a car than a train carriage . Derr . HYPERLINK,1
NAME how dare you stand up for the privacy of your customers !  IStandWithApple,1
NAME NAME i know u been a ðŸ�¶ this is what happens wen  NationalDrinkWineDay turns into lets finish all the wine dayðŸ˜†ðŸ˜„,1
NAME nice header photo  D-RoseSucks  Savage ðŸ”¥ðŸ”¥ðŸ”¥,1
NAME think it's enough for little richy pitino to keep his job ?,1
My is so advanced that people take me seriously . Then they run . away .,1
Don't forget to lubricate your 'opinions'  opinions  advice  humor  literally  fâ€¦ HYPERLINK HYPERLINK,1
Doug is so helpful  TheFamily,1
"NAME well done not delaying school . I mean , no one suggested this storm would be this bad .",1
"I'm so happy NAME is back on twitter . All he's doing is giving his friend , NAME , stuff to talk about  stoked",1
NAME do you think he will be forgiven just as he was by his wife when he was womanizing ?,1
Great day at work,1
WrestleMania Hooray for traiding finishers !,1
"But again anything can happen in a police call centre & amp; since they never opened it , we will never know ! HYPERLINK",1
NAME & gt; Will it not be nice if this clown becomes the US president ? We will have  WW3 soon . . . . . How exciting :-),1
It's never the white man's problem . . its always somebody elses problem . .  WhyILovebeingwhite,1
The shark tooth ? NAME I think they're for sale at any coastal destination HYPERLINK,1
I love being at the wrong beach . . . Vero . . . Jensen Beach,1
"NAME he would make ONLY $14 million ? Good lord , help him land a contract !",1
The voice of reason here . . .  DumpTrump  RubioRising  Marcomentum HYPERLINK,1
"Make the member like they a smart detectives , and its just scripted show , so lame . i know why they get low rating",1
My dm is broke like my phone . . . . . . . . . ðŸ˜‚ðŸ˜‚,1
NAME I get the feeling that nobody will ever be using these . Riiiiight ? HYPERLINK,1
Does anybody have a copy of the  CodeBook for  Racism that  Hillary keeps talking about ? I must have lost mine ! (),1
NAME NAME hmm who to trust ? The guy who teaches law for a living or some keyboard warrior on Twitter ? tough choice,1
NAME NAME Yah ! Why would a corp purposefully prevent themselves from selling their highly sought after product ?,1
